Date,BMY,HSIC,HRB,GE,INCY
2018/6/6,49.70279312,55.827449800000004,26.47060394,12.78531361,68.55000305
2018/6/7,49.42103958,55.83529282,26.57160378,12.9165411,69.01999664
2018/6/8,49.92820358,56.5647049,26.76441574,13.05714035,70.01000214
2018/6/11,49.89063644,57.09803772,26.97559166,13.10400963,69.36000061
2018/6/12,49.90003586,57.23137283,27.17759132,13.10400963,70.58000183
2018/6/13,50.20997238,56.72941208,22.30215073,13.01964951,70.54000092
2018/6/14,50.36963654,57.16078568,21.82470703,12.78531361,73.63999939
2018/6/15,51.46850967,57.48235321,21.72370911,12.58173561,73.95999908
2018/6/18,50.3884201,57.17647171,21.62271309,12.48713589,72.01999664
2018/6/19,50.37902832,56.7843132,22.02670097,12.2506361,72.98000336
2018/6/20,50.95194626,56.40000153,22.10015678,12.18441582,73.43000031
2018/6/21,50.66078568,56.51764679,21.784702300000003,12.0708971,72.48999786
2018/6/22,51.787841799999995,58.58039093,21.33935928,12.34523582,74.02999878
2018/6/25,51.34640884,58.46274567,21.33008385,12.06143665,71.73000336
2018/6/26,51.57182312,58.71372604,21.20947075,12.99797153,66.73000336
2018/6/27,51.15856934,57.88235474,20.87545967,13.20609093,65.45999908
2018/6/28,51.93811417,56.98823547,21.08885384,13.08311176,65.76000214
2018/6/29,51.97567749,56.97254944,21.13524437,12.87499237,67.0
2018/7/2,51.83479691,57.5215683,21.59914207,12.64795303,68.62000275
2018/7/3,52.26683426,58.05490112,21.69192123,12.64795303,68.27999878
2018/7/5,52.92904282,58.81568527,21.85892487,12.70471382,69.29000092
2018/7/6,53.50610733,59.45098114,21.81253815,13.10203075,70.83000183
2018/7/9,53.40203857,59.85097885,21.97026443,13.19663334,71.62000275
2018/7/10,53.14662552,59.49803925,22.04448509,13.40475082,70.18000031
2018/7/11,52.73983765,58.50196075,22.23004532,13.23447227,70.27999878
2018/7/12,53.74259949,58.650981900000005,22.32282639,13.23447227,71.13999939
2018/7/13,53.78990555,58.71372604,22.20221329,13.13987255,70.19000244
2018/7/16,53.38312912,58.10195923,22.26715851,13.149332999999999,70.11000061
2018/7/17,53.57231903,58.5647049,22.23932266,12.9506731,70.23000336
